Body Part,Equipment Required,ID,Name,Primary Muscle Group,Duration(min),Reps,Sets,Rest Time(sec),Calories Burned,Difficulty Level,Intensity Level,Video Link,Image Link,Secondary Muscle Group,Category
chest,dumbbell,732,dumbbell straight arm pullover,pectorals,5,12,3,30,20,Beginner,Medium,,,,
upper legs,dumbbell,733,dumbbell straight leg deadlift,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
upper legs,dumbbell,734,dumbbell sumo pull through,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
upper legs,dumbbell,735,dumbbell supported squat,quads,7,12,3,40,51.45,Intermediate,Medium,,,,
upper arms,dumbbell,736,dumbbell tate press,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
upper arms,dumbbell,737,dumbbell tricep kickback with stork stance,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
upper arms,dumbbell,738,dumbbell twisting bench press,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
shoulders,dumbbell,739,dumbbell upright row,delts,5,12,3,30,20,Beginner,Medium,,,,
shoulders,dumbbell,740,dumbbell upright row (back pov),delts,5,12,3,30,20,Beginner,Medium,,,,
shoulders,dumbbell,741,dumbbell upright shoulder external rotation,delts,5,12,3,30,20,Beginner,Medium,,,,
upper arms,dumbbell,742,dumbbell waiter biceps curl,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
shoulders,dumbbell,743,dumbbell w-press,delts,5,12,3,30,20,Beginner,Medium,,,,
upper arms,dumbbell,744,dumbbell zottman curl,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
upper arms,dumbbell,745,dumbbell zottman preacher curl,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
upper arms,dumbbell,746,dumbbells seated triceps extension,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
chest,body weight,747,dynamic chest stretch (male),pectorals,5,12,3,30,20,Beginner,Medium,,,,
upper arms,body weight,748,elbow dips,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
back,body weight,749,elbow lift - reverse push-up,upper back,5,12,3,30,20,Beginner,Medium,,,,
waist,body weight,750,elbow-to-knee,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
back,body weight,751,elevator,upper back,5,12,3,30,20,Beginner,Medium,,,,
back,stability ball,752,exercise ball alternating arm ups,lats,5,12,3,30,20,Beginner,Medium,,,,
back,stability ball,753,exercise ball back extension with arms extended,spine,5,12,3,30,20,Beginner,Medium,,,,
back,stability ball,754,exercise ball back extension with hands behind head,spine,5,12,3,30,20,Beginner,Medium,,,,
back,stability ball,755,exercise ball back extension with knees off ground,spine,5,12,3,30,20,Beginner,Medium,,,,
back,stability ball,756,exercise ball back extension with rotation,spine,5,12,3,30,20,Beginner,Medium,,,,
upper arms,stability ball,757,exercise ball dip,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
upper legs,stability ball,758,exercise ball hip flexor stretch,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
back,stability ball,759,exercise ball hug,spine,5,12,3,30,20,Beginner,Medium,,,,
back,stability ball,760,exercise ball lat stretch,lats,5,12,3,30,20,Beginner,Medium,,,,
back,stability ball,761,exercise ball lower back stretch (pyramid),lats,5,12,3,30,20,Beginner,Medium,,,,
back,stability ball,762,exercise ball lying side lat stretch,lats,5,12,3,30,20,Beginner,Medium,,,,
lower legs,dumbbell,763,exercise ball on the wall calf raise,calves,7,20,3,40,42.88,Intermediate,Medium,,,,
lower legs,dumbbell,764,exercise ball on the wall calf raise (tennis ball between ankles),calves,7,20,3,40,42.88,Intermediate,Medium,,,,
lower legs,dumbbell,765,exercise ball on the wall calf raise (tennis ball between knees),calves,7,20,3,40,42.88,Intermediate,Medium,,,,
upper legs,stability ball,766,exercise ball one leg prone lower body rotation,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
upper legs,stability ball,767,exercise ball one legged diagonal kick hamstring curl,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
chest,stability ball,768,exercise ball pike push up,pectorals,5,12,3,30,20,Beginner,Medium,,,,
back,stability ball,769,exercise ball prone leg raise,spine,5,12,3,30,20,Beginner,Medium,,,,
upper legs,stability ball,770,exercise ball seated hamstring stretch,hamstrings,8,10,3,50,68.6,Intermediate,Medium,,,,
upper arms,stability ball,771,exercise ball seated triceps stretch,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
upper arms,dumbbell,772,exercise ball supine triceps extension,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
upper arms,ez barbell,773,ez bar french press on exercise ball,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
back,ez barbell,774,ez bar lying bent arms pullover,lats,5,12,3,30,20,Beginner,Medium,,,,
upper arms,ez barbell,775,ez bar lying close grip triceps extension behind head,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
back,ez barbell,776,ez bar reverse grip bent over row,upper back,5,12,3,30,20,Beginner,Medium,,,,
upper arms,ez barbell,777,ez bar seated close grip concentration curl,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
upper arms,ez barbell,778,ez bar standing french press,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
shoulders,ez barbell,779,ez barbell anti gravity press,delts,5,12,3,30,20,Beginner,Medium,,,,
upper arms,ez barbell,780,ez barbell close grip preacher curl,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
upper arms,ez barbell,781,ez barbell close-grip curl,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
upper arms,ez barbell,782,ez barbell curl,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
upper arms,ez barbell,783,ez barbell decline close grip face press,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
upper arms,ez barbell,784,ez barbell decline triceps extension,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
upper arms,ez barbell,785,ez barbell incline triceps extension,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
upper arms,ez barbell,786,ez barbell jm bench press,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
upper arms,ez barbell,787,ez barbell reverse grip curl,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
upper arms,ez barbell,788,ez barbell reverse grip preacher curl,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
upper arms,ez barbell,789,ez barbell seated curls,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
upper arms,ez barbell,790,ez barbell seated triceps extension,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
upper arms,ez barbell,791,ez barbell spider curl,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
upper arms,ez barbell,792,ez barbell spider curl,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
upper arms,ez barbell,793,ez-bar biceps curl (with arm blaster),biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
upper arms,ez barbell,794,ez-bar close-grip bench press,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
upper arms,ez barbell,795,ez-barbell standing wide grip biceps curl,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
upper legs,dumbbell,796,farmers walk,quads,7,12,3,40,51.45,Intermediate,Medium,,,,
lower arms,barbell,797,finger curls,forearms,5,12,3,30,20,Beginner,Medium,,,,
waist,body weight,798,flag,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
